Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
28,0.0509814640783437,0.00166342387912333,0.0120394394595399,0.00361268936206649,0.000183790189938166,0.00015683391746082,0.00964550397772541,1.83924610501383e-05,1.83853568816362e-06,0.000307457847809295,0.000185182483692781,5.14426904533366e-06,1.28606726133341e-06,0.000302313578763962,0.000183896416431448,0.00018379018993814,0,0.000294961971166521,1.06226493307144e-07,1.08682483409431e-05,8,7.3597912130807e-05,2.40077016013062e-06,5.78389110480462
29,0.050991773317139,0.00166372960011402,0.0121520685723763,0.00342877704104181,0.000183352935134765,2.02044229198275e-05,0.0101399469264803,0.00044277671024501,4.3890101073403e-05,0.000326362113311061,0.000184798624771091,5.40797196452144e-06,1.35199299113036e-06,0.00032095414134654,0.000183446631779961,0.000183352935134765,0,0.000313620023941149,9.36966451960391e-08,2.76629636579586e-07,8,0.00178671074645718,5.77983180666368e-05,5.78468726157018
30,0.0509917135467303,0.00166403464981947,0.0121259407860914,0.0032873241679904,0.000177618167010286,9.30624546269323e-05,0.0102468649357314,-0.000332505685237023,-3.34710344173093e-05,0.000329187235954997,0.00017906820993891,5.46499490927392e-06,1.36624872731848e-06,0.000323722241045723,0.000177701961211592,0.000177618167010276,0,0.000316617514365346,8.37942013152872e-08,2.07961062982185e-06,7.895,-0.00132144668348097,-4.34031566664815e-05,5.78468264579891
31,0.0509943282070938,0.00166433021260381,0.0121726179803164,0.00307427644992228,0.000170203083087179,0.000102731188532831,0.0105022457511789,0.00056901303731738,5.62849316467811e-05,0.000338834401633946,0.000171673060360642,5.60119802157174e-06,1.40029950539293e-06,0.000333233203612375,0.000170272760855249,0.000170203083087168,0,0.000326425080288934,6.967776808119e-08,2.39324412559857e-06,7.79,0.00230098568861517,7.42885871842604e-05,5.78488456139452
32,0.0510022208146977,0.00166461348673727,0.0122282255223659,0.00295842777986965,0.000140666051331005,0.000116964901910766,0.00902112471438644,0.000558819999535075,5.51912399008862e-05,0.000292446178891177,0.000141921702106659,4.81126676234286e-06,1.20281669058572e-06,0.000287634912128834,0.000140718885416073,0.00014066605133082,0,0.000282008270076359,5.28340852533717e-08,4.60799411022299e-06,7.76,0.00226332059818686,7.2966491811158e-05,5.78549404328839
33,0.0510119319171541,0.00166484764134345,0.0123048315922552,0.00287132871798666,0.000123666332671685,0.000124008468689572,0.00817267349521136,0.000885125468620266,8.66213760288841e-05,0.000266647309804569,0.000124799224342899,4.35875942212437e-06,1.08968985553109e-06,0.000262288550382444,0.000123709534487368,0.000123666332671626,0,0.00025734189707583,4.32018157416622e-08,7.85957905835631e-06,7.76,0.00361888921865458,0.000115571363378812,5.78624391143284
34,0.0510241801639904,0.00166505352694571,0.0123922787651113,0.00283283466461437,0.000130686356230984,2.93840022998078e-05,0.00875454646145398,-0.000244433048279808,-2.45825950788072e-05,0.000287683927132448,0.000131897435021028,4.66909168803063e-06,1.16727292200766e-06,0.000283014835444417,0.00013073016209902,0.000130686356230975,0,0.000277787381195216,4.38058680452544e-08,5.04162723927182e-07,7.72,-0.000972302719273726,-3.19136401108167e-05,5.78718962681988
35,0.0510221231287176,0.00166527112672407,0.0123823679815971,0.00267602384695565,0.000107047455112191,8.53377487100953e-05,0.00759371501008908,-0.000729907988449575,-7.44479634923894e-05,0.000249416308283487,0.000108092010493982,4.04998154855777e-06,1.01249538713944e-06,0.00024536632673493,0.000107079515106842,0.000107047455112099,0,0.000241084428530866,3.20599947430355e-08,3.20642326301084e-06,7.72,-0.00286456357874254,-9.52877396108086e-05,5.7870308034467
36,0.0510230897968207,0.00166544938976026,0.0124339399067208,0.00249322626542191,0.000106729914000014,6.18854425835321e-05,0.00813009260464163,0.000713526337043865,7.01109834066136e-05,0.000268243828316316,0.000107841426028295,4.33604961380798e-06,1.08401240345199e-06,0.000263907778702508,0.000106757413624843,0.000106729914000014,0,0.000259638582142508,2.74996248288324e-08,1.53613094699024e-06,7.72,0.00290509772255865,9.31628814904197e-05,5.78710543999506
37,0.0510289756561935,0.0016656271430304,0.0124599291715794,0.00245525447063769,0.000135205302961364,0.0001108786107717,0.0104596219567481,0.000397321822615945,3.94292120420193e-05,0.000345851765645125,0.000136633555846991,5.5784653244531e-06,1.39461633111327e-06,0.000340273300320672,0.000135238939515878,0.000135205302961297,0,0.000334865088202557,3.36365545803999e-08,2.81950669452014e-06,7.945,0.00160145393601347,5.18816100634239e-05,5.78755987808873
38,0.0510368241484788,0.0016658523446529,0.0125246499475897,0.00235774843630729,0.00010968869028548,7.8190763107771e-05,0.00883926712591233,-0.000113653792766678,-1.13950910386444e-05,0.000293849473173458,0.000110892151216596,4.71427603738486e-06,1.17856900934621e-06,0.000289135197136073,0.000109713582207249,0.000109688690285426,0,0.000284747649524939,2.48919218232078e-08,1.98263323729507e-06,7.96,-0.000453449096858056,-1.48410141277124e-05,5.78816582199791
39,0.0510398287537901,0.00166603506981479,0.0125638903096474,0.00223522497844369,0.000117552496404262,0.000319805812950156,0.0099966398534496,0.000163168058545965,1.62630530718663e-05,0.000333447597716684,0.000118909191583955,5.33154152308976e-06,1.33288538077244e-06,0.000328116056193594,0.000117576306203182,0.000117552496404259,0,0.000323413956337443,2.38097989233759e-08,-6.6696795230164e-06,7.96,0.000654809833325528,2.13056915156248e-05,5.78839778508298
40,0.0510655149387726,0.00166623091639634,0.0128398441689142,0.00213233751247439,8.57504460770619e-05,0.000119013778212256,0.00764724520134298,-0.00037990120185738,-3.83774468966208e-05,0.000260737488643912,8.67851971192291e-05,4.07853097848722e-06,1.01963274462181e-06,0.000256658957665425,8.57655643746072e-05,8.57504460770007e-05,0,0.000253228939822711,1.51182976065796e-08,8.76877413179005e-06,7.98,-0.00150465510362002,-4.9608562032167e-05,5.79038064524275
41,0.0510712843089287,0.00166637379644069,0.0129249254819579,0.0020070056260335,6.84834631711208e-05,0.000110596680431662,0.00649261379220693,0.000709811904798662,6.94506547251904e-05,0.000222892332922912,6.93596896868428e-05,3.46272753206392e-06,8.65681883015979e-07,0.000219429605390848,6.84940078038268e-05,6.84834631711044e-05,0,0.000216690266864109,1.05446327223661e-08,1.43590265721852e-05,7.86,0.00290271612109832,9.26505458704436e-05,5.79082597136812
42,0.0510821448479632,0.00166648791548921,0.0130067659259861,0.00200696863454543,0.000107630839102485,0.000177860804688546,0.0102041732552544,0.000536105780989403,5.30472245655645e-05,0.000352528870362342,0.000109007757431972,5.44222601540318e-06,1.36055650385079e-06,0.000347086644346939,0.000107647200928121,0.000107630839102432,0,0.00034278141078318,1.6361825688993e-08,1.69567781101448e-05,7.795,0.00216719509638538,6.99738663346323e-05,5.79166423104869
