Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
21,0.0512779998762813,0.00167102723314003,0.00328153551025175,0.0206436886281268,0.000849583168911451,8.48375669703049e-05,0.00937359211850819,0.0458535218956871,0.00250473374046591,7.92488795104321e-05,0.0010146261426072,4.99990431914218e-06,1.24997607978554e-06,7.42489751912899e-05,0.00101337616652742,0.000849583161943597,0,4.02656494423354e-05,0.000163793003954034,2.06600724400194e-06,0.00305209462370218,8.42399576373165,0.0059914032995593,5.80677135310803
22,0.0514063706280301,0.0016724469097521,0.00332057534487203,0.0222636713991415,0.000904575965206083,0,0.00942918209725639,0.0461026282038727,0.00251883265721245,8.04985042715548e-05,0.00109958601058087,5.02938253863456e-06,1.25734563465864e-06,7.54691217329202e-05,0.00109832866494621,0.000904575955095627,0,3.92860844940941e-05,0.000193752708921748,0,0.00414395460022902,8.29811616220038,0.00601460261765643,5.81666313512235
23,0.051527538120502,0.00167395976502974,0.00327243060399753,0.0238371563017577,0.000948683970422877,0.000128433492223926,0,0.0462887755712463,0,7.96601747857717e-05,0.00118314093604598,5.05829997439094e-06,1.26457499359774e-06,7.46018748113807e-05,0.00118187636105238,0.000948683962729103,0,3.66545169523445e-05,0.000233192397606922,5.24194742002757e-06,0,7.75110115485814,0.00602925644678815,5.8259926277193
24,0.0515334789793428,0.00167554782382596,0.00335108848423446,0.022841274595474,0.000930129595160234,0,0.00949353168944557,0.0462107313084371,0.00252919258739116,8.17737748093914e-05,0.0011359979136611,5.06645658245072e-06,1.26661414561268e-06,7.67073182269407e-05,0.00113473129951549,0.000930129593943813,0,3.95021345825753e-05,0.000204601705459759,0,0.000625149976857493,6.82022891047026,0.00601063377801474,5.82644987379017
25,0.051655235380713,0.00167710630044501,0.0033017496839742,0.0243973654586254,0.000967823089110534,3.30565957873501e-05,0.00949808544132261,0.0459397174624326,0.00252065315001732,8.04453467976526e-05,0.00121246958927183,5.06645658245072e-06,1.26661414561268e-06,7.53788902152019e-05,0.00121120297512622,0.000967823083215805,0,3.66659673743927e-05,0.000243379891362615,5.26595166473961e-07,0.00249842649296757,5.60104703513804,0.00598025137233937,5.83581731338956
26,0.051779359204391,0.00167872944264547,0.00328416479402224,0.0259009785879929,0.00100628343859058,0,0.0095174339103153,0.0454951959183297,0.00250779877906748,8.00679559891993e-05,0.00128899573693643,5.077257851983e-06,1.26931446299575e-06,7.49906981372163e-05,0.00128772642247343,0.00100628343157649,0,3.47393614008447e-05,0.000281442990249345,0,0.00157016950862389,4.11680583893865,0.00591414398359633,5.84535963935891
27,0.0518996340408681,0.00168041872028148,0.00323205746265197,0.027347016595552,0.00103454425034527,0.00013998048681501,0.00951378537388043,0.0442293703363373,0.00246456367631124,7.87062387282003e-05,0.00136018684471763,5.077257851983e-06,1.26931446299575e-06,7.36289808762173e-05,0.00135891753025463,0.00103454424607924,0,3.2247211320984e-05,0.00032437328378947,6.94117896600921e-06,0.000626618207263343,2.49891447148809,0.00574158220893089,5.85459910048692
28,0.0520302618121018,0.00168215718780672,0.0033190104944629,0.0287150376837731,0.00107658722957927,8.85865789473203e-05,0,0.0389518310759453,0,8.0684155066279e-05,0.00142702225320452,5.077257851983e-06,1.26931446299575e-06,7.5606897214296e-05,0.00142575293874152,0.00107658721923177,0,3.25434091207963e-05,0.000349165718589741,2.17527907731621e-06,0,0.857629555786214,0.00504998571443017,5.86462612906662
29,0.0520315559893527,0.00168396817675325,0.00335262878223948,0.0275713503344321,0.00104159450517083,0.00012400114881337,0.00940167284526461,0,0,8.05820282408743e-05,0.00135409922516644,5.01541412189875e-06,1.25385353047469e-06,7.55666141189756e-05,0.00135284537163596,0.00104159449846547,0,3.39028346534503e-05,0.000311250872561501,4.83798319092693e-06,0.00168743289693279,0,0,5.86472543028133
30,0.0520363988663919,0.00168572218875304,0.00342306837428262,0.0264686587275626,0.00102201222653051,0.000123799204882808,0.00939424561745179,0,0,8.22699676807989e-05,0.00129934589110079,5.01119909145084e-06,1.25279977286271e-06,7.72587685893481e-05,0.00129809309132793,0.00102201222462038,0,3.63782797524579e-05,0.000276080866532036,4.82679879582373e-06,0.00214397400051955,0,0,5.86509701347675
