"days","temp","salt","DLI","pCO2","totAlk","B_stipe_gDW","B_fronds_gDW","B_gDW","B_kgWW","r_eff_th","r_eff_fr","fT","fL"
2023-06-20,9.28916666666667,29.80875,66.3271369537484,720.068036398886,0.002060029565375,30.24728215418,4.64153810065344,34.8888202548334,0.268375540421796,0.207636521990741,0.135324766986463,1.0381826099537,0.868984998008511
2023-06-21,9.35625,29.6604166666667,66.3332151112965,718.064028490643,0.00205279521520833,35.7265927300335,5.2039220131876,40.9305147432211,0.314850113409393,0.207275716145833,0.135091237606093,1.03637858072917,0.868995430293095
2023-06-22,9.34041666666667,29.7327083333333,66.3300634387797,704.926153846154,0.00205632094485417,42.0321988632317,5.83120335494775,47.8634022181795,0.368180017062919,0.20736763744213,0.135150305728341,1.03683818721065,0.868990021107208
2023-06-23,9.3975,29.760625,66.3176863347938,818.316666666667,0.0020576824658125,49.2095293662891,6.52824447338951,55.7377738396786,0.428752106459066,0.207016614583333,0.134918230341149,1.03508307291667,0.868968774077721
2023-06-24,9.46458333333333,29.786875,66.2960891596535,696.698795584199,0.0020589627019375,57.2889145296592,7.30083630459485,64.5897508342541,0.49684423718657,0.206534686053241,0.13459839926226,1.0326734302662,0.868931682997873
2023-06-25,9.50083333333333,29.8197916666667,66.2652782324742,691.357487357588,0.00206056807739583,66.2837292692899,8.15624234288491,74.4399716121748,0.572615166247499,0.206243049768519,0.134400149647053,1.03121524884259,0.868878731819247
2023-06-26,9.57333333333333,29.8216666666667,66.2252608304886,687.965320735447,0.00206065952283333,76.1472729609487,9.09955694472414,85.2468299056729,0.655744845428253,0.205594074074074,0.133966624375056,1.02797037037037,0.868809894632723
2023-06-27,9.703125,23.1247916666667,66.1760451899539,655.377484252642,0.00173404690189583,86.7633565697532,10.1332776113098,96.896634181063,0.745358724469715,0.204213460286458,0.133054024489733,1.02106730143229,0.868725135637275
2023-06-28,9.81208333333333,15.216875,66.1176405083407,545.488333333333,0.0013483706889375,97.9994633467138,11.2628472835707,109.262310630285,0.84047931254065,0.202837672164352,0.132142314844629,1.01418836082176,0.86862440909602
2023-06-29,9.748125,17.28375,66.0500569480326,668.48099886607,0.001449174042875,109.808185600425,12.508357139871,122.316542740296,0.940896482617658,0.203669241536458,0.132666222175594,1.01834620768229,0.868507659279817
2023-06-30,9.80041666666667,21.0210416666667,65.9733056421574,663.609918398726,0.00163144512102083,121.899145313596,13.86838407208,135.767529385676,1.04436561065904,0.202994442997685,0.132206447235144,1.01497221498843,0.868374820399403
2023-07-01,9.59875,24.776875,65.8873987008012,665.668026935246,0.0018146204929375,134.215748994164,15.374285246303,149.590034240467,1.15069257108051,0.2053458203125,0.133714906882787,1.0267291015625,0.86822581652289
2023-07-02,9.48979166666667,28.476875,65.792349219911,695.712950335725,0.0019950728229375,146.420770504034,17.0283402908257,163.449110794859,1.25730085226815,0.206334201027199,0.13433293679753,1.031671005136,0.868060561482465
2023-07-03,9.49041666666667,29.8666666666667,65.6881712911484,702.520938203138,0.00206285421333333,158.198857297626,18.8334652741774,177.032322571803,1.36178709670618,0.206329095775463,0.134301510603726,1.03164547887731,0.867878958767108
2023-07-04,9.39208333333333,30.1122916666667,65.5792535963634,712.248693154242,0.00207483356564583,169.361356310673,20.8083956891168,190.16975199979,1.46284424615223,0.207052255497685,0.134742654811377,1.03526127748843,0.867688558378656
2023-07-05,9.321875,30.1129166666667,65.4632238238125,723.89385970899,0.00207486404745833,179.701198057103,22.9639306331878,202.665128690291,1.55896252838685,0.207469970703125,0.134982834425762,1.03734985351563,0.867485120654963
2023-07-06,9.324375,30.125,65.338436183376,730.939087052307,0.0020754533625,189.065331569555,25.3096581054047,214.37498967496,1.64903838211508,0.207456507161458,0.134939923504007,1.03728253580729,0.867265628189312
2023-07-07,9.3575,30.1464583333333,65.2049041913189,738.043624264599,0.00207649990472917,197.379381294544,27.8583612189963,225.23774251354,1.73259801933492,0.20726828125,0.134780855379033,1.03634140625,0.867029948278901
2023-07-08,9.42020833333333,27.44125,65.0626423504129,744.492357042188,0.001944564459625,204.627463276577,30.6228636274895,235.250326904067,1.80961789926205,0.20686187463831,0.134477481848076,1.03430937319155,0.866777937907951
2023-07-09,9.4575,27.841875,64.9116661729064,749.641981375488,0.0019641033014375,210.855008468827,33.6219462759348,244.476954744762,1.88059195957509,0.206589114583333,0.134258564044992,1.03294557291667,0.866509443576937
2023-07-10,9.50729166666667,29.7922916666667,64.7519922045933,754.317704956283,0.00205922687764583,216.131433069442,36.8718911894276,253.003324258869,1.94617941737592,0.206188793041088,0.133954307362767,1.03094396520544,0.866224301117883
2023-07-11,9.574375,27.3864583333333,64.5836380501462,758.386225129204,0.00194189222072917,220.547083841212,40.3880978618774,260.935181703089,2.00719370540838,0.205584111328125,0.133514905366539,1.02792055664063,0.865922335495668
2023-07-12,9.72541666666667,24.0070833333333,64.4066223999237,785.092857142857,0.00177707706054167,224.189452393386,44.1688511201119,268.358303513498,2.06429464241152,0.203948088831019,0.132403613309347,1.01974044415509,0.865603360595357
2023-07-13,9.82416666666667,25.7620833333333,64.2209650578037,917.531666666667,0.00186266999004167,227.179189651005,48.2372042071098,275.416393858115,2.11858764506242,0.20267291087963,0.131524663391542,1.01336455439815,0.865267178994346
2023-07-14,9.871875,27.8183333333333,64.0266869702358,726.467687234682,0.00196295515316667,229.627008955183,52.6247167050879,282.251725660271,2.17116712046362,0.201998616536458,0.13103351019816,1.00999308268229,0.864913581719242
2023-07-15,9.93333333333333,29.1177083333333,63.8238102565287,718.488052761051,0.00202632684135417,231.618919523101,57.3456328574039,288.964552380505,2.22280424908081,0.201074074074074,0.130377789089489,1.00537037037037,0.864542347987035
2023-07-16,9.855625,29.6652083333333,63.6123582401119,701.8368516656,0.00205302890910417,233.250890539486,62.478363303158,295.729253842644,2.27484041417419,0.202232548828125,0.131069934975154,1.01116274414063,0.864153244929587
2023-07-17,9.78041666666667,29.9139583333333,63.3989875342423,647.913147915333,0.00206516067047917,234.580283336196,68.0527850627215,302.633068398918,2.32794667999168,0.203257915219907,0.13167428938224,1.01628957609954,0.863758338691869
2023-07-18,9.7425,29.9664583333333,63.1793450280118,628.274513085496,0.00206772114272917,235.655663060676,74.0856922588279,309.741355319504,2.38262581015003,0.203739114583333,0.131923534684222,1.01869557291667,0.863349419208765
2023-07-19,9.83666666666667,29.900625,62.9516036470641,605.721128166607,0.0020645103918125,236.5155615506,80.5478574967293,317.063419047329,2.43894937728715,0.202499907407407,0.131056343579686,1.01249953703704,0.862922821431322
2023-07-20,9.860625,29.8247916666667,62.7157898561944,581.692197291859,0.00206081193189583,237.205825164729,87.4922798968436,324.698105061572,2.49767773124286,0.202161038411458,0.130769629545353,1.01080519205729,0.862478286768577
2023-07-21,9.81583333333333,20.5133333333333,62.4719312989455,565.136959635991,0.00160668372866667,237.761887924038,94.9839564349962,332.745844359034,2.55958341814641,0.202786799768519,0.131104030171501,1.01393399884259,0.862015544214626
2023-07-22,9.763125,18.9679166666667,62.2200568346662,549.352571273614,0.00153131236695833,238.209058400483,103.059336879204,341.268395279687,2.62514150215144,0.203480335286458,0.131478967697757,1.01740167643229,0.861534310020095
2023-07-23,9.95145833333333,22.0354166666667,61.9601965760064,535.260432050366,0.00168091710270833,238.562020624895,111.591247610829,350.153268235724,2.69348667873634,0.200789391999421,0.129664913284948,1.00394695999711,0.861034287344703
2023-07-24,10.2927083333333,23.9922916666667,61.6923819278883,523.652490739993,0.00177635565764583,238.8360576733,120.390672294822,359.226729968122,2.76328253821632,0.194407543041088,0.125467979363032,0.97203771520544,0.860515165892263
2023-07-25,10.6939583333333,23.25625,61.4166456266124,513.281373515993,0.001740458243125,239.04601887797,129.219816463512,368.265835341482,2.8328141180114,0.184420876374421,0.118948231652347,0.922104381872107,0.859976621524861
2023-07-26,10.8264583333333,24.3010416666667,61.1330217802331,504.263574076588,0.00179141367302083,239.21397775678,138.349368512474,377.563346269253,2.90433343284041,0.18053374963831,0.116365508302217,0.902668748191551,0.859418315857645
