Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
21,0.0518798575572544,0.00166957427647758,0.00390606370335005,0.032425898989666,0.000837189147695093,0.000126040278169575,0.00645698146360526,0.0316764346980569,0.00172836754351405,6.40138039820874e-05,0.00108995833499839,3.44510093663504e-06,8.6127523415876e-07,6.05687030454524e-05,0.00108909705976423,0.00083718914323351,0,2.70811376277479e-05,0.000251907916137658,0.0001,0.001,6.5857864,0.00408491343271422,5.85308034952797
22,0.051972799002466,0.00167097202594312,0.00398919308725986,0.0332638787119672,0.000857085214746131,0.000126040858210036,0.00645701117879283,0.0316457042571938,0.00172735637096385,6.52971015371401e-05,0.00111746948817205,3.44511679107432e-06,8.6127919776858e-07,6.18519847460658e-05,0.00111660820897428,0.000857085210287837,0,2.75685766440054e-05,0.000259522998295541,0.0001,0.001,6.2679492,0.00407704176879689,5.86021625713277
23,0.0520656494974215,0.00167240419136081,0.00407132948449851,0.0340788263145958,0.000876501759293888,0.000126041554259894,0.00645704683708474,0.0316248463579999,0.00172667131297065,6.65628871970486e-05,0.001144191695907,3.44513581643711e-06,8.61283954109277e-07,6.31177513806115e-05,0.00114333041195289,0.0008765017548465,0,2.80576814937905e-05,0.000266828656718122,0.0001,0.001,6.0681483,0.00407055433729871,5.86734111472651
24,0.0521584303648348,0.00167387005657678,0.00415249153744994,0.0348715815714863,0.000895457250773833,0.000126042250311174,0.00645708249544949,0.0316175310779864,0.00172643342233222,6.78115024921001e-05,0.0011701539663272,3.44515484183875e-06,8.61288710459689e-07,6.43663476502614e-05,0.00116929267761674,0.000895457246344119,0,2.85480581009219e-05,0.000273835430887382,0.0001,0.001,6,0.00406591593844984,5.87445657859877
25,0.0522511688879231,0.0016753689356558,0.00423269715890385,0.0356430869047259,0.000913971750133155,0.000126042946363876,0.00645711815388709,0.0316251883666184,0.00172669014318965,6.9043322091692e-05,0.00119538953698949,3.44517386727928e-06,8.6129346681982e-07,6.55981482244127e-05,0.00119452824352267,0.000913971745725865,0,2.90392786971015e-05,0.000280556497414823,0.0001,0.001,6.0681483,0.0040633015835091,5.88156475795429
26,0.0523438946243199,0.00167690017553404,0.00431196356837332,0.0363943115840809,0.000932065908944732,0.000126043758427159,0.00645715975548972,0.0316464177231636,0.00172739563211349,7.0258764845395e-05,0.00121993348898655,3.44519606367569e-06,8.61299015918922e-07,6.68135687817193e-05,0.00121907218997063,0.000932065904563091,0,2.95309328982063e-05,0.000287006285028936,0.0001,0.001,6.2679492,0.00406252220300184,5.88866793135946
27,0.052436634723288,0.00167846315702036,0.00439030736732078,0.0371261574866269,0.000949757071751261,0.000126044570492378,0.0064572013571915,0.0316774926893641,0.00172842571852386,7.14581096076753e-05,0.00124381632241491,3.445218260125e-06,8.61304565031251e-07,6.80128913475503e-05,0.00124295501784988,0.000949757067398951,0,3.00226089478243e-05,0.000293197950075867,0.0001,0.001,6.5857864,0.00406309119850442,5.89576818786549
28,0.0525294099722318,0.00168005728927341,0.00446774445078925,0.0378393842071842,0.000967060720671546,0.000126045382559532,0.00645724295899242,0.0317137989425749,0.00172962764300192,7.26416890241512e-05,0.00126706478713534,3.44524045662721e-06,8.61310114156802e-07,6.9196448567524e-05,0.00126620347702119,0.000967060716352182,0,3.05140202068085e-05,0.000299142760297647,0.0001,0.001,7,0.00406441026318277,5.9028671251324
29,0.0526222333596763,0.00168168200668635,0.0045442901823424,0.0385345825651575,0.000983989350858992,0.000126046194628622,0.00645728456089251,0.0317510937559093,0.00173086124316289,7.38098326439435e-05,0.00128969995887843,3.44526265318233e-06,8.61315663295582e-07,7.03645699907612e-05,0.00128883864321514,0.00098398934657684,0,3.10049964180569e-05,0.000304849296270881,0.0001,0.001,7.4823619,0.00406593130135288,5.90996574096006
30,0.0527151107079917,0.00168333676387246,0.00461995950795669,0.0392121905972019,0.00100055372259031,0.000126047122709951,0.00645733210604258,0.0317862342625692,0.00173202360952826,7.49629376045817e-05,0.00131173899816437,3.44528802073866e-06,8.61322005184666e-07,7.1517649583843e-05,0.00131087767615918,0.0010005537183498,0,3.1495501137051e-05,0.000310323957446168,0.0001,0.001,8,0.00406724939654475,5.91706448332943
31,0.0528080425568159,0.00168502103273792,0.00469476712640151,0.0398725328669944,0.00101676080094053,0.000126048050793808,0.00645737965132214,0.0318171959024486,0.00173304765917378,7.61012645440571e-05,0.00133319288085859,3.44531338836409e-06,8.61328347091022e-07,7.2655951155693e-05,0.0013323315525115,0.00101676079674742,0,3.19855195695588e-05,0.00031557075540543,0.0001,0.001,8.5176381,0.00406810446403869,5.9241633957828
32,0.052901025961868,0.00168673429607277,0.00476872742508019,0.0405158604967211,0.00103261710329437,0.000126048978880193,0.00645742719673119,0.0318429272079827,0.00173389908031978,7.72251371277759e-05,0.00135407126975401,3.4453387560586e-06,8.61334689014651e-07,7.37797983717173e-05,0.00135320993506499,0.00103261709915411,0,3.24751146856215e-05,0.00032059283555718,0.0001,0.001,9,0.00406836192432365,5.93126225585361
33,0.0529940561568015,0.00168847604675561,0.00484185460054958,0.0411423844887847,0.00104812835349749,0.000126049906969105,0.00645747474226975,0.0318629992107167,0.0017345640462602,7.83348751377405e-05,0.00137438245141474,3.44536412382221e-06,8.61341030955554e-07,7.48895110139183e-05,0.00137352111038378,0.00104812834941543,0,3.29643773134151e-05,0.000325392760619943,0.0001,0.001,9.4142136,0.00406796730058641,5.93836070258068
34,0.0530871275903269,0.00169024578637441,0.00491416268687267,0.0417522970684749,0.00106330080549867,0.000126050951072153,0.00645752823115538,0.031877354037428,0.00173504151789001,7.94308667458076e-05,0.00139413532489961,3.44539266263885e-06,8.61348165659712e-07,7.59854740831687e-05,0.00139327397673395,0.00106330080147939,0,3.34534422959349e-05,0.000329973174911756,0.0001,0.001,9.7320508,0.00406691370693374,5.94545831596393
35,0.053180234579448,0.00169204302608056,0.00498566563612205,0.0423457838677816,0.00107813853942118,0.000126051995178399,0.00645758172020485,0.0318860190679888,0.00173533192743231,8.05133517399767e-05,0.00141333599015584,3.4454212015429e-06,8.61355300385724e-07,7.70679305384338e-05,0.00141247463485546,0.00107813853546996,0,3.39423893871328e-05,0.000334336099048658,0.0001,0.001,9.9318517,0.00406520515555585,5.95255466690192
36,0.0532733713752336,0.00169386728287733,0.00505637719174193,0.042923027672632,0.00109264639851894,0.000126053039287843,0.0064576352094182,0.0318890706048547,0.00173543787933097,8.15826346705655e-05,0.00143199165042798,3.44544974053438e-06,8.61362435133596e-07,7.81371849300311e-05,0.00143113028799285,0.00109264639464018,0,3.44313294072539e-05,0.000338483893022097,0.0001,0.001,10,0.0040628518325343,5.95964932222423
